id,name,description,latitude,longitude,city,region,category,activities,estimated_cost,avg_duration_hours,mood_tags,rating
329,Kalam Bazaar,The main market in Kalam town offering local handicrafts and mountain gear.,0.000000,0.000000,Kalam,Khyber Pakhtunkhwa,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,1.5,family; friends; laid-back,3.6
330,Ushu Waterfall,A scenic waterfall within the Ushu Forest area near Kalam.,35.486108,72.584579,Kalam,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; peaceful; romantic; meditative,4.5
331,Bishigram Lake,A high-altitude lake near Madyan accessible via a trek through forests and meadows.,35.082693,72.666303,Swat,Khyber Pakhtunkhwa,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,2.5,family; couple; friends; adventurous; energetic; relaxed; peaceful; meditative,4.5
332,Manglor Valley,A lesser-known valley in lower Swat with orchards and traditional Pashtun villages.,35.002558,72.232324,Swat,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks; Walking,0 PKR,5,family; couple; friends; relaxed; peaceful,4.1
333,Swat Camping Resort,A camping resort along the Swat River offering tents and outdoor activities.,35.386289,74.581642,Swat,Khyber Pakhtunkhwa,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
334,Aboha Waterfall,A tall waterfall near Kalam accessible via a short hike from the main road.,35.486108,72.584579,Kalam,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; adventurous; energetic; peaceful; romantic,4.5
335,Palam Valley,A side valley in upper Swat known for its wild beauty and camping spots.,35.504352,72.583502,Kalam,Khyber Pakhtunkhwa,Valley,Hiking; Camping; Photography; Sightseeing; Nature Walks,500 PKR,4,family; friends; peaceful; relaxed,4.6
336,Shin Meadow,An alpine meadow above Kalam offering panoramic mountain views and camping.,35.486108,72.584579,Kalam,Khyber Pakhtunkhwa,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,3,friends; solo; peaceful; adventurous,4.7
337,Malam Jabba Chairlift,A chairlift ride at the Malam Jabba resort offering aerial views of the valley.,34.79979,72.57185,Swat,Khyber Pakhtunkhwa,Adventure Spot,Photography; Sightseeing; Chairlift Ride,1000 PKR,1,family; friends; couple; thrilling; adventurous,4.3
338,Elum Mountain,The highest peak in lower Swat at 2811m associated with Alexander the Great's campaign.,34.605743,72.369172,Swat,Khyber Pakhtunkhwa,Mountain,Trekking; Hiking; Photography,0 PKR,4,friends; solo; adventurous; energetic,3.7
339,Katelai Lake,A small scenic lake in lower Swat surrounded by green hills.,35.082693,72.666303,Swat,Khyber Pakhtunkhwa,Lake,Photography; Sightseeing; Boating; Picnicking,1000 PKR,2.5,couple; solo; peaceful; meditative,4.5
340,Manrai Valley,A fertile valley near Bahrain with terraced rice fields and fruit orchards.,35.002558,72.232324,Swat,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks; Walking,0 PKR,5,family; couple; friends; relaxed; peaceful,4.1
341,Swat Emerald Mines Viewpoint,A viewpoint near the famous emerald mining areas of Swat Valley.,35.258151,72.518317,Swat,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
342,Shangla Pass,A mountain pass connecting Swat with the Shangla district offering panoramic views.,34.880836,72.590724,Swat,Khyber Pakhtunkhwa,Pass,Photography; Sightseeing; Driving,0 PKR,1.5,family; couple; friends; adventurous; peaceful; romantic,4.5
343,Mahaban Mountain,A historically significant mountain near Swat associated with ancient Buddhist ruins.,34.3,72.7,Swat,Khyber Pakhtunkhwa,Mountain,Trekking; Hiking; Photography,0 PKR,4,friends; solo; adventurous; energetic; cultural; educational,3.7
344,Swat River Rapids,Sections of the Swat River with rapids suitable for white-water rafting.,34.62942,71.992654,Swat,Khyber Pakhtunkhwa,Adventure Spot,Photography; Sightseeing; White-water Rafting,3000 PKR,3,friends; adventurous; thrilling; energetic,4.7
345,Lalkoo Lake,A hidden lake in upper Swat accessible via a trek from Utror.,35.486108,72.584579,Kalam,Khyber Pakhtunkhwa,Lake,Trekking; Photography; Sightseeing; Boating; Picnicking,1000 PKR,3,friends; solo; adventurous; peaceful,4.6
346,Desan Valley,A quiet valley near Kalam with traditional villages and forest trails.,35.486108,72.584579,Kalam,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.6
347,Kalash Valley (Bumburet),"The largest of the three Kalash valleys, home to the unique Kalash people with pagan traditions.",35.694113,71.675822,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Cultural Tours; Village Walks; Festival Attendance,0 PKR,5,family; couple; friends; cultural; festive; adventurous,4.6
348,Kalash Valley (Rumbur),One of the three Kalash valleys known for its wine production and Kalash cultural festivals.,35.771593,71.694092,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Cultural Tours; Village Walks; Festival Attendance,0 PKR,4,family; couple; friends; cultural; festive; adventurous,4.6
349,Kalash Valley (Birir),The most traditional of the three Kalash valleys with fewer tourists and authentic culture.,35.84623,71.7858,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Cultural Tours; Village Walks,0 PKR,4,couple; solo; cultural; peaceful; adventurous,4.7
350,Chitral Fort,A 14th-century fort of the Mehtar (ruler) of Chitral overlooking the town and river.,0.000000,0.000000,Chitral,Khyber Pakhtunkhwa,Fort,Photography; Sightseeing; History Tours,200 PKR,1,family; couple; cultural; educational,4.1
351,Shahi Mosque Chitral,A historic mosque in Chitral town built by the former rulers with ornate architecture.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Mosque,Photography; Sightseeing,0 PKR,0.5,family; spiritual; cultural; peaceful,4.4
352,Garam Chashma,A scenic town in Chitral known for its natural hot water springs surrounded by mountains.,35.991060,71.556640,Chitral,Khyber Pakhtunkhwa,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.4
353,Garam Chashma Hot Springs,Natural sulfur hot springs in Garam Chashma believed to have healing properties.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.4
354,Chitral Museum,A museum in Chitral showcasing the cultural heritage of the Chitral and Kalash people.,35.847859,71.785781,Chitral,Khyber Pakhtunkhwa,Museum,Photography; Sightseeing; Museum Visit,100 PKR,1.5,family; couple; cultural; educational,4.4
355,Shandur Pass (Chitral Side),The Chitral approach to the Shandur Polo Ground with scenic mountain road.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Pass,Photography; Sightseeing; Polo Watching,0 PKR,1.5,family; couple; friends; adventurous; peaceful,4.4
356,Chitral Bazaar,"The main market of Chitral town offering local handicrafts, Chitrali caps, and dry fruits.",35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,2,family; friends; laid-back; cultural,4.4
357,Tirich Mir Viewpoint,"Viewpoint for the 7708m Tirich Mir, the highest peak in the Hindu Kush range.",36.255,71.83994,Chitral,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,5.0
358,Chitral River,The main river of Chitral Valley offering scenic views and fishing opportunities.,35.85088,71.76891,Chitral,Khyber Pakhtunkhwa,River,Photography; Sightseeing; Fishing,500 PKR,2,friends; solo; adventurous; relaxed,4.7
359,Mastuj Fort,An ancient fort in the Mastuj area of upper Chitral with historical significance.,36.284867,72.524361,Chitral,Khyber Pakhtunkhwa,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
360,Mastuj Valley,A scenic valley in upper Chitral along the road to Shandur Pass.,34.955162,72.484512,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.1
361,Buni Valley,A fertile valley in Chitral with orchards and stunning mountain scenery.,34.955162,72.484512,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks; Walking,0 PKR,5,family; couple; friends; relaxed; peaceful,4.1
362,Chitral Polo Ground,A traditional polo ground in Chitral where free-style polo matches are held.,35.854773,71.789346,Chitral,Khyber Pakhtunkhwa,Adventure Spot,Photography; Polo Watching,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.4
363,Kalash Joshi Festival Site,The main festival ground where the Kalash celebrate their spring festival Joshi.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Cultural Site,Photography; Cultural Tours; Festival Attendance; Dancing,0 PKR,1.5,family; couple; cultural; educational,4.4
364,Kalash Uchal Festival Site,The site where the Kalash harvest festival Uchal is celebrated in Rumbur Valley.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Cultural Site,Photography; Cultural Tours; Festival Attendance,0 PKR,1.5,family; couple; cultural; educational,4.4
365,Kalash Choimus Festival Site,The winter solstice festival ground of the Kalash people in Bumburet Valley.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Cultural Site,Photography; Cultural Tours; Festival Attendance,0 PKR,1.5,family; couple; cultural; educational,4.4
366,Kalash Graveyard,Open-air cemeteries of the Kalash people with unique wooden effigies of the deceased.,35.686576,71.662937,Chitral,Khyber Pakhtunkhwa,Cultural Site,Photography; Sightseeing; Cultural Tours,0 PKR,1.5,family; couple; cultural; educational,4.6
367,Bamburet River Walk,A walking trail along the Bumburet River through the heart of the Kalash Valley.,35.71567,71.76976,Chitral,Khyber Pakhtunkhwa,Adventure Spot,Photography; Walking,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.6
368,Chitral Gol National Park,"A national park near Chitral town home to markhor, snow leopards, and diverse wildlife.",0.000000,0.000000,Chitral,Khyber Pakhtunkhwa,Park,Hiking; Photography; Wildlife Watching; Birdwatching,200 PKR,3,family; couple; friends; relaxed; peaceful,4.9
369,Ayun Village,A scenic village at the junction where the road to the Kalash Valleys branches off.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.4
370,Birmoghlasht,A scenic plateau near Chitral with camping facilities and panoramic mountain views.,35.84623,71.7858,Chitral,Khyber Pakhtunkhwa,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,family; friends; relaxed; peaceful,4.4
371,Golen Valley,A remote valley in Chitral known for its hydroelectric potential and scenic beauty.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful,4.7
372,Shahi Masjid Chitral,The grand mosque of the former rulers of Chitral state with impressive architecture.,35.853313,71.790457,Chitral,Khyber Pakhtunkhwa,Mosque,Photography; Sightseeing,0 PKR,0.5,family; peaceful; cultural; spiritual,4.4
373,Drosh Town,A town in lower Chitral known for its citrus orchards and warm climate.,35.558148,71.792692,Chitral,Khyber Pakhtunkhwa,Village,Photography; Walking; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.4
374,Drosh Fort,A historic military fort in Drosh town built during the British era.,35.56036,71.79604,Chitral,Khyber Pakhtunkhwa,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.4
375,Arandu Village,A village near the Afghan border in Chitral with cross-border cultural connections.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.4
376,Reshun Village,A village in upper Chitral with a historic fort and polo ground.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks; Polo Watching,0 PKR,2,family; couple; peaceful; cultural; educational,4.4
377,Chitral Walnut Trees Walk,A scenic walk through ancient walnut tree groves in the Chitral Valley.,35.84623,71.7858,Chitral,Khyber Pakhtunkhwa,Park,Photography; Walking; Picnicking,0 PKR,3,family; couple; friends; relaxed; peaceful; cultural; educational,4.4
378,Boroghil Valley,A remote high-altitude valley near the Afghan border with yak herding communities.,36.284819,72.254095,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful,5.0
379,Broghil Pass,A historic mountain pass connecting Chitral with the Wakhan Corridor of Afghanistan.,36.883265,73.350769,Chitral,Khyber Pakhtunkhwa,Pass,Photography; Sightseeing,0 PKR,1.5,family; couple; friends; adventurous; peaceful; cultural; educational,5.0
380,Yarkhun Valley,A long valley in upper Chitral along the Yarkhun River with diverse landscapes.,36.277139,72.517129,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.7
381,Chitral Mountain Festival Ground,A festival ground where the annual Chitral mountain festival showcases local culture.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Cultural Site,Photography; Sightseeing; Cultural Tours,0 PKR,1.5,family; couple; cultural; educational,4.4
382,Terich Valley,A valley leading to the Tirich Mir base camp through stunning mountain terrain.,35.664336,71.735918,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Camping; Photography; Sightseeing; Nature Walks,1000 PKR,6,solo; friends; adventurous; peaceful,4.6
383,Tirich Mir Base Camp Trail,A trekking route to the base of Tirich Mir through alpine meadows and glaciers.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Adventure Spot,Trekking; Camping; Photography,2000 PKR,24,solo; friends; adventurous; energetic,4.4
384,Koghuzi Valley,A side valley near Chitral with walnut orchards and terraced farming.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks; Walking,0 PKR,5,family; couple; friends; relaxed; peaceful,4.7
385,Chitral Sunset Viewpoint,A hilltop viewpoint near Chitral town for watching sunset over the Hindu Kush.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing; Sunset Viewing,0 PKR,1,family; couple; solo; peaceful; romantic,4.4
386,Garam Chashma Valley,The scenic valley around Garam Chashma with pine forests and river views.,35.850889,71.79019,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.7
387,Lotkuh Valley,A valley in Chitral inhabited by the Kalash and Kho people with cultural diversity.,35.744704,71.685613,Chitral,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.6
388,Rumbur Valley Walk,A walking trail through the Rumbur Kalash Valley passing traditional houses and orchards.,35.775187,71.693277,Chitral,Khyber Pakhtunkhwa,Adventure Spot,Photography; Walking,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.6
389,Kumrat Valley,"A stunning valley in Upper Dir with pine forests, waterfalls, and the Panjkora River.",35.204174,71.872310,Dir,Khyber Pakhtunkhwa,Valley,Hiking; Camping; Photography; Fishing; Horse Riding; Nature Walks,1500 PKR,8,family; friends; couple; adventurous; peaceful; romantic,4.7
390,Jahaz Banda Meadow,A high-altitude meadow in Kumrat resembling an airplane landing strip surrounded by peaks.,35.58959,72.16103,Dir,Khyber Pakhtunkhwa,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,friends; solo; adventurous; peaceful,4.7
391,Do Kala Chashma,A scenic spot in Kumrat Valley where two streams meet amidst thick forests.,35.208014,71.877977,Dir,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic; meditative,4.7
392,Kumrat Waterfall,A multi-tiered waterfall in Kumrat Valley cascading through pine forests.,35.53066,72.22993,Dir,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; peaceful; romantic; meditative,4.5
393,Panjkora River,A major river flowing through Dir district known for its clear blue-green waters.,34.955162,72.484512,Dir,Khyber Pakhtunkhwa,River,Photography; Sightseeing; Fishing,500 PKR,2,friends; solo; relaxed; peaceful,4.7
394,Lowari Pass,"A mountain pass connecting Dir with Chitral, now served by the Lowari Tunnel.",34.955162,72.484512,Dir,Khyber Pakhtunkhwa,Pass,Photography; Sightseeing; Driving,0 PKR,1.5,family; couple; friends; adventurous; peaceful,4.7
395,Lowari Tunnel,"A 10km tunnel through the Hindu Kush connecting Dir with Chitral, a modern engineering marvel.",0.000000,0.000000,Dir,Khyber Pakhtunkhwa,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.0
396,Dir Fort,The historic fort of the Nawab of Dir overlooking the Dir Valley.,35.203592,71.876475,Dir,Khyber Pakhtunkhwa,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.7
397,Shahi Bagh (Dir),A garden area in Dir town with historical significance as the Nawab's pleasure garden.,34.02101,71.57522,Dir,Khyber Pakhtunkhwa,Park,Photography; Walking; Picnicking,30 PKR,3,family; couple; friends; relaxed; peaceful; cultural; educational,4.7
398,Thall Village (Dir),A scenic village in upper Dir serving as the gateway to Kumrat Valley.,34.955162,72.484512,Dir,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.7
399,Katora Lake,A high-altitude lake in Upper Dir accessible via a challenging trek through alpine terrain.,34.955162,72.484512,Dir,Khyber Pakhtunkhwa,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,2.5,family; couple; friends; adventurous; energetic; relaxed; peaceful; meditative,4.7
400,Bin Shahi Meadow,A large alpine meadow near Kumrat Valley ideal for camping and nature walks.,35.208014,71.877977,Dir,Khyber Pakhtunkhwa,Meadow,Hiking; Camping; Photography; Walking; Picnicking; Stargazing,500 PKR,3,friends; solo; peaceful; relaxed,4.7
401,Badwan Valley,A scenic valley in Dir with dense forests and traditional Pashtun villages.,34.955162,72.484512,Dir,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.8
402,Dir Bazaar,The main marketplace of Dir town with local handicrafts and traditional items.,35.194603,71.870882,Dir,Khyber Pakhtunkhwa,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,1.5,family; friends; laid-back,4.7
403,Sheringal Valley,A remote valley in Dir with pristine forests and traditional communities.,34.955162,72.484512,Dir,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful; meditative,4.8
404,Panjkora River Viewpoint,A scenic viewpoint overlooking the Panjkora River Valley from the main road.,35.00016,72.02672,Dir,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.7
405,Chakdara Fort,A historic British-era fort at the junction of the Dir and Swat valleys.,0.000000,0.000000,Dir,Khyber Pakhtunkhwa,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.0
406,Churchill Picket (Chakdara),The site where Winston Churchill fought during the Malakand Field Force campaign in 1897.,35.208014,71.877977,Dir,Khyber Pakhtunkhwa,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.7
407,Kumrat Forest Camp,A forest camping area in Kumrat Valley surrounded by tall pine trees.,34.446567,73.333565,Dir,Khyber Pakhtunkhwa,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,4.7
408,Timergara Town,The main town of Lower Dir district with markets and as a transit point for travelers.,34.829081,71.842687,Dir,Khyber Pakhtunkhwa,Village,Photography; Shopping; Cultural Tours; Village Walks,0 PKR,2,family; couple; laid-back; peaceful; cultural; educational; festive,4.7
409,Talash Valley,A valley in Lower Dir known for its archaeological sites and agricultural terraces.,34.892606,71.901248,Dir,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.7
410,Upper Dir Forest Reserve,Protected forests in Upper Dir with diverse coniferous trees and wildlife.,34.955162,72.484512,Dir,Khyber Pakhtunkhwa,Forest,Hiking; Photography; Wildlife Watching; Birdwatching; Nature Walks,0 PKR,3,family; couple; solo; relaxed; peaceful; meditative,4.7
411,Lamutai Valley,A secluded valley in Upper Dir with seasonal waterfalls and pristine nature.,34.955162,72.484512,Dir,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful,4.8
412,Lake Saif-ul-Malook,A legendary alpine lake at 3224m believed to be the site of a fairy tale love story.,34.877214,73.69379,Naran,Khyber Pakhtunkhwa,Lake,Hiking; Camping; Photography; Sightseeing; Boating; Horse Riding,1500 PKR,3,family; friends; couple; romantic; peaceful; adventurous; spiritual,4.5
413,Naran Town,The main tourist town in Kaghan Valley serving as a base for exploring surrounding attractions.,34.90536,73.649,Naran,Khyber Pakhtunkhwa,Village,Photography; Sightseeing; Shopping; Food Tasting,0 PKR,2,family; couple; peaceful; cultural,4.2
414,Naran Bazaar,"The bustling main market of Naran offering local handicrafts, woolens, and mountain gear.",34.902701,73.649824,Naran,Khyber Pakhtunkhwa,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,2,family; friends; couple; laid-back; festive,4.2
415,Lulusar Lake (KPK Side),A large scenic lake near Babusar Pass with deep blue waters and mountain reflections.,35.083601,73.925001,Naran,Khyber Pakhtunkhwa,Lake,Photography; Sightseeing; Boating; Picnicking,1000 PKR,2,family; couple; peaceful; romantic; meditative,5.0
416,Babusar Pass (KPK Side),The scenic pass connecting Kaghan Valley with Gilgit-Baltistan at 4173m elevation.,34.90536,73.649,Naran,Khyber Pakhtunkhwa,Pass,Photography; Sightseeing,0 PKR,1.5,family; couple; friends; adventurous; peaceful,4.5
417,Shogran,A scenic hill station above Kaghan Valley with meadows and views of Makra Peak.,34.77675,73.5253,Kaghan,Khyber Pakhtunkhwa,Meadow,Hiking; Camping; Photography; Chairlift Ride; Horse Riding; Picnicking,1500 PKR,5,family; couple; friends; relaxed; peaceful; romantic,4.8
418,Siri Paye Meadows,A vast high-altitude meadow above Shogran with 360-degree views of the Kaghan mountains.,34.77675,73.5253,Kaghan,Khyber Pakhtunkhwa,Meadow,Hiking; Camping; Photography; Horse Riding; Picnicking,1500 PKR,4,family; couple; friends; adventurous; peaceful; romantic,4.8
419,Lalazar Plateau,A beautiful alpine plateau covered with wildflowers offering views of snow-capped peaks.,34.90536,73.649,Naran,Khyber Pakhtunkhwa,Meadow,Hiking; Camping; Photography; Horse Riding; Picnicking,1500 PKR,4,family; couple; friends; peaceful; romantic; relaxed,4.6
420,Ansoo Lake (Tear Drop Lake),"A tear-shaped high-altitude lake visible from Malika Parbat, one of Pakistan's most unique lakes.",34.814119,73.676428,Naran,Khyber Pakhtunkhwa,Lake,Trekking; Photography,0 PKR,2.5,family; couple; friends; relaxed; peaceful,4.5
421,Dudipatsar Lake,A pristine alpine lake surrounded by snow-covered peaks accessible via a multi-day trek.,35.053021,73.948625,Naran,Khyber Pakhtunkhwa,Lake,Trekking; Camping; Photography,1000 PKR,10,solo; friends; adventurous; energetic; peaceful,5.0
422,Kunhar River,The main river flowing through Kaghan Valley offering fishing and white-water experiences.,34.719836,73.574523,Naran,Khyber Pakhtunkhwa,River,Photography; Sightseeing; Fishing; White-water Rafting,2000 PKR,3,friends; family; adventurous; thrilling,3.0
423,Kaghan Village,The historic village that gives the Kaghan Valley its name with traditional architecture.,34.780626,73.524155,Kaghan,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.8
424,Balakot Town,"The gateway to Kaghan Valley, a town rebuilt after the 2005 earthquake.",34.550674,73.352573,Balakot,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.8
425,Paras Village,A scenic village in the Kaghan Valley between Kaghan and Naran.,34.780626,73.524155,Kaghan,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.8
426,Kawai Waterfall,A waterfall along the road between Balakot and Naran surrounded by forests.,34.6333,73.42559,Kaghan,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; peaceful; romantic; meditative,5.0
427,Malika Parbat Viewpoint,"Viewpoint for the 5290m Malika Parbat, the queen of Kaghan mountains.",34.86,73.66,Naran,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
428,Batakundi Village,A scenic village north of Naran serving as a stop on the way to Babusar Pass.,34.475651,72.480796,Naran,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.5
429,Besal Village,A starting point for treks to Lake Saif-ul-Malook and nearby alpine areas.,34.475651,72.480796,Naran,Khyber Pakhtunkhwa,Village,Trekking; Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; adventurous; energetic; peaceful; cultural; educational; meditative,4.5
430,Jalkhad Village,A village near Babusar Pass surrounded by alpine scenery.,34.475651,72.480796,Naran,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational; meditative,4.5
431,Kunhar River Rafting Point,White-water rafting launch points along the Kunhar River near Naran.,34.9,73.64,Naran,Khyber Pakhtunkhwa,Adventure Spot,Photography; White-water Rafting,3000 PKR,2.5,friends; family; adventurous; thrilling; energetic,4.8
432,Pyala Lake,A small cup-shaped lake near Shogran accessible via a moderate trek.,34.955162,72.484512,Kaghan,Khyber Pakhtunkhwa,Lake,Photography; Sightseeing; Boating; Picnicking,1000 PKR,2.5,couple; solo; peaceful; meditative,4.8
433,Makra Peak Viewpoint,Viewpoint for the 3885m Makra Peak visible from Shogran and Siri Paye.,34.77675,73.5253,Kaghan,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.8
434,Naran Waterfall,A waterfall near Naran town visible from the main road.,34.90536,73.649,Naran,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; peaceful; romantic,4.5
435,Lulusar-Dudipatsar National Park,"A national park encompassing alpine lakes, meadows, and wildlife in the upper Kaghan Valley.",0.000000,0.000000,Naran,Khyber Pakhtunkhwa,Park,Photography; Wildlife Watching; Walking; Picnicking,200 PKR,3,family; couple; friends; relaxed; peaceful; meditative,5.0
436,Gittidas Camping Ground,A popular camping area near Lake Saif-ul-Malook with basic facilities.,36.48113,72.65519,Naran,Khyber Pakhtunkhwa,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
437,Babusar Top Viewpoint,The highest point of Babusar Pass road offering views of both Kaghan and Chilas valleys.,35.112995,73.984796,Naran,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
438,Lake Saif-ul-Malook Camping,Designated camping area near the legendary lake for overnight stargazing experiences.,34.881,73.691,Naran,Khyber Pakhtunkhwa,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
